date,stocks,budget,bought_stocks,cost,total_cost,budget_after_trans,stocks_after_trans
2023-01-02,0,1000000,8884,1.0709733963012695,9609.672929267883,990390.3270707321,8884
2023-01-03,8884,990390.3270707321,9481,1.0677714347839355,10224.776382918359,980165.5506878138,18365
2023-01-04,18365,980165.5506878138,10378,1.0546854734420776,11054.9811018157,969110.5695859981,28743
2023-01-05,28743,969110.5695859981,11225,1.0606365203857422,12024.701390743256,957085.8681952548,39968
2023-01-06,39968,957085.8681952548,11024,1.0522217750549316,11715.689776687623,945370.1784185672,50992
2023-01-09,50992,945370.1784185672,10792,1.0656323432922363,11615.307291297913,933754.8711272692,61784
2023-01-10,61784,933754.8711272692,11557,1.073318362236023,12528.383715485335,921226.4874117839,73341
2023-01-11,73341,921226.4874117839,11957,1.0738946199417114,12968.963550349474,908257.5238614344,85298
2023-01-12,85298,908257.5238614344,12281,1.0766000747680664,13353.94277340889,894903.5810880256,97579
2023-01-13,97579,894903.5810880256,13092,1.0860239267349243,14360.407501301766,880543.1735867239,110671
2023-01-16,110671,880543.1735867239,13366,1.082461953163147,14612.868330638408,865930.3052560855,124037
2023-01-17,124037,865930.3052560855,13763,1.083012938499451,15054.562143293622,850875.7431127918,137800
2023-01-18,137800,850875.7431127918,13538,1.0793308019638062,14758.100200955869,836117.6429118359,151338
2023-01-19,151338,836117.6429118359,25178,1.0797853469848633,27458.703821048737,808658.9390907872,176516
2023-01-20,176516,808658.9390907872,16101,1.083388328552246,17618.071832799913,791040.8672579873,192617
2023-01-23,192617,791040.8672579873,15090,1.086507797241211,16559.356686973573,774481.5105710137,207707
2023-01-24,207707,774481.5105710137,13179,1.0874292850494385,14474.542853143215,760006.9677178705,220886
2023-01-25,220886,760006.9677178705,15842,1.088814616203308,17421.491161391736,742585.4765564788,236728
2023-01-26,236728,742585.4765564788,17154,1.0922038555145264,18923.021586871146,723662.4549696076,253882
2023-01-27,253882,723662.4549696076,14684,1.0894432067871094,16157.357888946533,707505.0970806611,268566
2023-01-30,268566,707505.0970806611,14558,1.0871455669403076,15984.93181515217,691520.1652655089,283124
2023-01-31,283124,691520.1652655089,15730,1.0850694179534912,17238.8233638525,674281.3419016565,298854
2023-02-01,298854,674281.3419016565,16189,1.0860947370529177,17758.61557513118,656522.7263265253,315043
2023-02-02,315043,656522.7263265253,20755,1.1012852191925049,23085.746471583843,633436.9798549415,335798
2023-02-03,335798,633436.9798549415,16446,1.09051251411438,18113.914495196346,615323.0653597452,352244
2023-02-06,352244,615323.0653597452,14001,1.079086184501648,15259.368525899648,600063.6968338456,366245
2023-02-07,366245,600063.6968338456,13974,1.0730764865875244,15145.122531809808,584918.5743020357,380219
2023-02-08,380219,584918.5743020357,14771,1.0729728937149048,16007.371439193488,568911.2028628422,394990
2023-02-09,394990,568911.2028628422,15105,1.0715816020965576,16348.102500665187,552563.100362177,410095
2023-02-10,410095,552563.100362177,16225,1.0742292404174805,17603.663120031357,534959.4372421457,426320
2023-02-13,426320,534959.4372421457,15399,1.0677714347839355,16607.0384474802,518352.39879466547,441719
2023-02-14,441719,518352.39879466547,16976,1.073041915893555,18398.119159851078,499954.27963481436,458695
2023-02-15,458695,499954.27963481436,17356,1.0735719203948977,18819.243392877583,481135.0362419368,476051
2023-02-16,476051,481135.0362419368,16729,1.0691757202148438,18065.103029708862,463069.93321222794,492780
2023-02-17,492780,463069.93321222794,16906,1.0665756464004517,18211.843156826497,444858.09005540144,509686
2023-02-20,509686,444858.09005540144,17635,1.0684444904327393,19030.438774669172,425827.65128073224,527321
2023-02-21,527321,425827.65128073224,17617,1.068261981010437,19007.767032655476,406819.88424807676,544938
2023-02-22,544938,406819.88424807676,16673,1.065200924873352,17937.695970617533,388882.18827745924,561611
2023-02-23,561611,388882.18827745924,16084,1.0605803728103638,17228.95846344471,371653.2298140145,577695
2023-02-24,577695,371653.2298140145,16556,1.0598047971725464,17721.589504208565,353931.6403098059,594251
