date,stocks,budget,bought_stocks,cost,total_cost,budget_after_trans,stocks_after_trans
2023-01-02,0,1000000,0,1.0709733963012695,0.0,1000000.0,0
2023-01-03,0,1000000.0,600,1.0677714347839355,647.0694894790649,999352.9305105209,600
2023-01-04,600,999352.9305105209,2611,1.0546854734420776,2781.3216088688373,996571.608901652,3211
2023-01-05,3211,996571.608901652,2421,1.0606365203857422,2593.4790260124205,993978.1298756396,5632
2023-01-06,5632,993978.1298756396,3118,1.0522217750549316,3313.6357695674897,990664.4941060721,8750
2023-01-09,8750,990664.4941060721,964,1.0656323432922363,1037.542274723053,989626.951831349,9714
2023-01-10,9714,989626.951831349,-130,1.073318362236023,-138.13607321977616,989765.0879045689,9584
2023-01-11,9584,989765.0879045689,-640,1.0738946199417114,-680.4196311950684,990445.5075357639,8944
2023-01-12,8944,990445.5075357639,1600,1.0766000747680664,1739.7857208251953,988705.7218149387,10544
2023-01-13,10544,988705.7218149387,138,1.0860239267349243,151.37001490831375,988554.3518000304,10682
2023-01-16,10682,988554.3518000304,118,1.082461953163147,129.00781557798385,988425.3439844524,10800
2023-01-17,10800,988425.3439844524,-275,1.083012938499451,-294.8502725064755,988720.1942569589,10525
2023-01-18,10525,988720.1942569589,-298,1.0793308019638062,-318.4241731953621,989038.6184301543,10227
2023-01-19,10227,989038.6184301543,-840,1.0797853469848633,-897.9494945526124,989936.5679247068,9387
2023-01-20,9387,989936.5679247068,-3749,1.083388328552246,-4021.006615304947,993957.5745400118,5638
2023-01-23,5638,993957.5745400118,-4357,1.086507797241211,-4686.575327854156,998644.149867866,1281
2023-01-24,1281,998644.149867866,-1281,1.0874292850494385,-1379.0669450068474,1000023.2168128728,0
2023-01-25,0,1000023.2168128728,0,1.088814616203308,0.0,1000023.2168128728,0
2023-01-26,0,1000023.2168128728,0,1.0922038555145264,0.0,1000023.2168128728,0
2023-01-27,0,1000023.2168128728,0,1.0894432067871094,0.0,1000023.2168128728,0
2023-01-30,0,1000023.2168128728,0,1.0871455669403076,0.0,1000023.2168128728,0
2023-01-31,0,1000023.2168128728,0,1.0850694179534912,0.0,1000023.2168128728,0
2023-02-01,0,1000023.2168128728,0,1.0860947370529177,0.0,1000023.2168128728,0
2023-02-02,0,1000023.2168128728,0,1.1012852191925049,0.0,1000023.2168128728,0
2023-02-03,0,1000023.2168128728,0,1.09051251411438,0.0,1000023.2168128728,0
2023-02-06,0,1000023.2168128728,2322,1.079086184501648,2530.6945016169548,997492.5223112558,2322
2023-02-07,2322,997492.5223112558,5484,1.0730764865875244,5943.598966970444,991548.9233442853,7806
2023-02-08,7806,991548.9233442853,5836,1.0729728937149048,6324.488505797386,985224.434838488,13642
2023-02-09,13642,985224.434838488,7001,1.0715816020965576,7577.16422424078,977647.2706142472,20643
2023-02-10,20643,977647.2706142472,6120,1.0742292404174805,6640.02578086853,971007.2448333787,26763
2023-02-13,26763,971007.2448333787,10128,1.0677714347839355,10922.532982406616,960084.711850972,36891
2023-02-14,36891,960084.711850972,6783,1.073041915893555,7351.227748661043,952733.484102311,43674
2023-02-15,43674,952733.484102311,6971,1.0735719203948977,7558.70855564356,945174.7755466674,50645
2023-02-16,50645,945174.7755466674,9616,1.0691757202148438,10384.005662841797,934790.7698838256,60261
2023-02-17,60261,934790.7698838256,10423,1.0665756464004517,11228.087142056227,923562.6827417694,70684
2023-02-20,70684,923562.6827417694,10530,1.0684444904327393,11363.227689099313,912199.4550526701,81214
2023-02-21,81214,912199.4550526701,10026,1.068261981010437,10817.498567826748,901381.9564848434,91240
2023-02-22,91240,901381.9564848434,10575,1.065200924873352,11377.144778341055,890004.8117065023,101815
2023-02-23,101815,890004.8117065023,11355,1.0605803728103638,12163.319034594297,877841.492671908,113170
2023-02-24,113170,877841.492671908,10260,1.0598047971725464,10982.333191180229,866859.1594807277,123430
2023-02-27,123430,866859.1594807277,13205,1.055475831031799,14076.933932262655,852782.225548465,136635
2023-02-28,136635,852782.225548465,9630,1.0611205101013184,10320.776417398452,842461.4491310666,146265
2023-03-01,146265,842461.4491310666,11626,1.0577309131622314,12420.151392388343,830041.2977386782,157891
2023-03-02,157891,830041.2977386782,6508,1.066894292831421,7012.781538324356,823028.5162003539,164399
2023-03-03,164399,823028.5162003539,10991,1.0599732398986816,11766.667538523674,811261.8486618302,175390
2023-03-06,175390,811261.8486618302,7496,1.0626201629638672,8045.05474899292,803216.7939128373,182886
2023-03-07,182886,803216.7939128373,3884,1.0688328742980957,4192.860352611542,799023.9335602258,186770
2023-03-08,186770,799023.9335602258,14612,1.05507493019104,15570.922428750991,783453.0111314747,201382
