date,stocks,budget,bought_stocks,cost,total_cost,budget_after_trans,stocks_after_trans
2023-01-02,0,1000000,0,1.0709733963012695,0.0,1000000.0,0
2023-01-03,0,1000000.0,0,1.0677714347839355,0.0,1000000.0,0
2023-01-04,0,1000000.0,0,1.0546854734420776,0.0,1000000.0,0
2023-01-05,0,1000000.0,0,1.0606365203857422,0.0,1000000.0,0
2023-01-06,0,1000000.0,0,1.0522217750549316,0.0,1000000.0,0
2023-01-09,0,1000000.0,0,1.0656323432922363,0.0,1000000.0,0
2023-01-10,0,1000000.0,0,1.073318362236023,0.0,1000000.0,0
2023-01-11,0,1000000.0,0,1.0738946199417114,0.0,1000000.0,0
2023-01-12,0,1000000.0,0,1.0766000747680664,0.0,1000000.0,0
2023-01-13,0,1000000.0,0,1.0860239267349243,0.0,1000000.0,0
2023-01-16,0,1000000.0,0,1.082461953163147,0.0,1000000.0,0
2023-01-17,0,1000000.0,0,1.083012938499451,0.0,1000000.0,0
2023-01-18,0,1000000.0,0,1.0793308019638062,0.0,1000000.0,0
2023-01-19,0,1000000.0,0,1.0797853469848633,0.0,1000000.0,0
2023-01-20,0,1000000.0,1384,1.083388328552246,1514.4035411834716,998485.5964588166,1384
2023-01-23,1384,998485.5964588166,510,1.086507797241211,559.6601663589478,997925.9362924576,1894
2023-01-24,1894,997925.9362924576,-1894,1.0874292850494385,-2038.9951552248,999964.9314476824,0
2023-01-25,0,999964.9314476824,0,1.088814616203308,0.0,999964.9314476824,0
2023-01-26,0,999964.9314476824,0,1.0922038555145264,0.0,999964.9314476824,0
2023-01-27,0,999964.9314476824,0,1.0894432067871094,0.0,999964.9314476824,0
2023-01-30,0,999964.9314476824,0,1.0871455669403076,0.0,999964.9314476824,0
2023-01-31,0,999964.9314476824,2750,1.0850694179534912,3013.780308365822,996951.1511393166,2750
2023-02-01,2750,996951.1511393166,-1295,1.0860947370529177,-1392.427757638693,998343.5788969554,1455
2023-02-02,1455,998343.5788969554,-1455,1.1012852191925049,-1586.3462939858437,999929.9251909412,0
2023-02-03,0,999929.9251909412,0,1.09051251411438,0.0,999929.9251909412,0
2023-02-06,0,999929.9251909412,11421,1.079086184501648,12447.485746325254,987482.439444616,11421
2023-02-07,11421,987482.439444616,16530,1.0730764865875244,17915.333866524696,969567.1055780912,27951
2023-02-08,27951,969567.1055780912,17341,1.0729728937149048,18792.487179409265,950774.618398682,45292
2023-02-09,45292,950774.618398682,19842,1.0715816020965576,21474.945370287896,929299.6730283941,65134
2023-02-10,65134,929299.6730283941,17185,1.0742292404174805,18645.235791540144,910654.437236854,82319
2023-02-13,82319,910654.437236854,23554,1.0677714347839355,25401.791258649828,885252.6459782042,105873
2023-02-14,105873,885252.6459782042,19872,1.073041915893555,21536.72384216309,863715.9221360411,125745
2023-02-15,125745,863715.9221360411,19290,1.0735719203948977,20916.294367861752,842799.6277681794,145035
2023-02-16,145035,842799.6277681794,25219,1.0691757202148438,27233.177912979125,815566.4498552002,170254
2023-02-17,170254,815566.4498552002,25257,1.0665756464004517,27207.88611214757,788358.5637430527,195511
2023-02-20,195511,788358.5637430527,24753,1.0684444904327393,26711.678536398413,761646.8852066542,220264
2023-02-21,220264,761646.8852066542,23522,1.068261981010437,25378.934900500775,736267.9503061534,243786
2023-02-22,243786,736267.9503061534,22907,1.065200924873352,24644.563161934613,711623.3871442188,266693
2023-02-23,266693,711623.3871442188,22707,1.0605803728103638,24323.42451065898,687299.9626335598,289400
2023-02-24,289400,687299.9626335598,20553,1.0598047971725464,21999.98967625022,665299.9729573096,309953
2023-02-27,309953,665299.9729573096,25027,1.055475831031799,26679.54755946516,638620.4253978444,334980
2023-02-28,334980,638620.4253978444,22979,1.0611205101013184,24627.323083634376,613993.10231421,357959
2023-03-01,357959,613993.10231421,27010,1.0577309131622314,28855.00508415699,585138.097230053,384969
2023-03-02,384969,585138.097230053,20823,1.066894292831421,22438.099258224964,562699.9979718281,405792
2023-03-03,405792,562699.9979718281,26582,1.0599732398986816,28457.970749616623,534242.0272222115,432374
2023-03-06,432374,534242.0272222115,22098,1.0626201629638672,23716.598164787294,510525.4290574242,454472
2023-03-07,454472,510525.4290574242,19036,1.0688328742980957,20549.765621089937,489975.66343633423,473508
2023-03-08,473508,489975.66343633423,32685,1.05507493019104,34829.975334227085,455145.68810210715,506193
2023-03-09,506193,455145.68810210715,32866,1.0549525022506714,35018.789628360275,420126.89847374684,539059
2023-03-10,539059,420126.89847374684,30021,1.0584698915481567,32094.087860308886,388032.81061343796,569080
2023-03-13,569080,388032.81061343796,20863,1.0683646202087402,22512.183982129096,365520.62663130887,589943
2023-03-14,589943,365520.62663130887,16313,1.0725010633468628,17670.666944841145,347849.9596864677,606256
2023-03-15,606256,347849.9596864677,19584,1.0727657079696655,21219.134061126708,326630.82562534104,625840
2023-03-16,625840,326630.82562534104,36117,1.0583354234695437,38606.139494344,288024.686130997,661957
2023-03-17,661957,288024.686130997,30632,1.0614134073257446,32838.34764813423,255186.3384828628,692589
2023-03-20,692589,255186.3384828628,25984,1.0678855180740356,28025.4166746521,227160.9218082107,718573
2023-03-21,718573,227160.9218082107,16847,1.071914792060852,18239.133986867666,208921.78782134302,735420
2023-03-22,735420,208921.78782134302,11958,1.0774236917495728,13012.670831000805,195909.1169903422,747378
2023-03-23,747378,195909.1169903422,3871,1.0870392322540283,4250.0081567358975,191659.10883360633,751249
2023-03-24,751249,191659.10883360633,4896,1.0835057497024536,5357.892592048645,186301.21624155767,756145
2023-03-27,756145,186301.21624155767,8987,1.077818512916565,9783.21852533698,176517.9977162207,765132
2023-03-28,765132,176517.9977162207,4803,1.0807071924209597,5242.543011649848,171275.45470457085,769935
2023-03-29,769935,171275.45470457085,5570,1.0839520692825315,6097.989156162738,165177.4655484081,775505
2023-03-30,775505,165177.4655484081,4317,1.0843634605407717,4728.0090297460565,160449.45651866205,779822
2023-03-31,779822,160449.45651866205,-1929,1.0904649496078491,-2082.4718189156056,162531.92833757764,777893
2023-04-03,777893,162531.92833757764,54,1.080333590507507,58.92139402627944,162473.00694355136,777947
2023-04-04,777947,162473.00694355136,-10423,1.091226577758789,-11260.11607378006,173733.1230173314,767524
2023-04-05,767524,173733.1230173314,-13562,1.0960105657577517,-14715.454339878563,188448.57735721,753962
2023-04-06,753962,188448.57735721,-7965,1.090334177017212,-8597.666602742673,197046.24395995267,745997
2023-04-07,745997,197046.24395995267,-9317,1.0920130014419556,-10072.542283090354,207118.78624304303,736680
2023-04-10,736680,207118.78624304303,-6954,1.0913575887680054,-7513.407665569782,214632.1939086128,729726
2023-04-11,729726,214632.1939086128,-5817,1.086932897567749,-6259.46177850008,220891.65568711289,723909
2023-04-12,723909,220891.65568711289,-12843,1.0917507410049438,-13881.14121905923,234772.79690617212,711066
2023-04-13,711066,234772.79690617212,-20813,1.0999890565872192,-22665.131512402295,257437.92841857442,690253
2023-04-14,690253,257437.92841857442,-24233,1.1054610013961792,-26520.750082365274,283958.6785009397,666020
2023-04-17,666020,283958.6785009397,-17973,1.098659634590149,-19548.74751636386,303507.42601730354,648047
2023-04-18,648047,303507.42601730354,-8798,1.0925379991531372,-9516.027823383809,313023.45384068735,639249
2023-04-19,639249,313023.45384068735,-17127,1.0975382328033447,-18609.561940090654,331633.015780778,622122
2023-04-20,622122,331633.015780778,-12940,1.095218300819397,-14030.403564476966,345663.419345255,609182
2023-04-21,609182,345663.419345255,-13847,1.0970927476882937,-15039.528844467404,360702.94818972243,595335
2023-04-24,595335,360702.94818972243,-20403,1.0992271900177002,-22203.257034351827,382906.20522407425,574932
2023-04-25,574932,382906.20522407425,-26559,1.1059499979019165,-29079.19673433423,411985.4019584085,548373
2023-04-26,548373,411985.4019584085,-18448,1.0978394746780396,-20050.413202571868,432035.81516098033,529925
2023-04-27,529925,432035.81516098033,-25012,1.1047282218933103,-27355.14766313552,459390.9628241159,504913
2023-04-28,504913,459390.9628241159,-20235,1.1032048463821411,-22100.1165658772,481491.0793899931,484678
2023-05-01,484678,481491.0793899931,-15754,1.1010911464691162,-17173.12402225971,498664.2034122528,468924
2023-05-02,468924,498664.2034122528,-9869,1.0969241857528689,-10717.289341303112,509381.49275355594,459055
2023-05-03,459055,509381.49275355594,-18640,1.1010911464691162,-20319.095580482484,529700.5883340384,440415
2023-05-04,440415,529700.5883340384,-27159,1.1068925857543943,-29761.474779138556,559462.063113177,413256
2023-05-05,413256,559462.063113177,-20538,1.102292776107788,-22412.500145344733,581874.5632585217,392718
2023-05-08,392718,581874.5632585217,-21218,1.10186767578125,-23145.634061279296,605020.197319801,371500
2023-05-09,371500,605020.197319801,-13900,1.0996140241622925,-15131.788586497307,620151.9859062983,357600
2023-05-10,357600,620151.9859062983,-8922,1.096467137336731,-9684.853001325131,629836.8389076234,348678
2023-05-11,348678,629836.8389076234,-11031,1.098406195640564,-11995.35355666995,641832.1924642933,337647
