date,stocks,budget,bought_stocks,cost,total_cost,budget_after_trans,stocks_after_trans
2023-01-02,0,1000000,0,1.0709733963012695,0.0,1000000.0,0
2023-01-03,0,1000000.0,0,1.0677714347839355,0.0,1000000.0,0
2023-01-04,0,1000000.0,0,1.0546854734420776,0.0,1000000.0,0
2023-01-05,0,1000000.0,0,1.0606365203857422,0.0,1000000.0,0
2023-01-06,0,1000000.0,0,1.0522217750549316,0.0,1000000.0,0
2023-01-09,0,1000000.0,0,1.0656323432922363,0.0,1000000.0,0
2023-01-10,0,1000000.0,0,1.073318362236023,0.0,1000000.0,0
2023-01-11,0,1000000.0,0,1.0738946199417114,0.0,1000000.0,0
2023-01-12,0,1000000.0,0,1.0766000747680664,0.0,1000000.0,0
2023-01-13,0,1000000.0,0,1.0860239267349243,0.0,1000000.0,0
2023-01-16,0,1000000.0,0,1.082461953163147,0.0,1000000.0,0
2023-01-17,0,1000000.0,0,1.083012938499451,0.0,1000000.0,0
2023-01-18,0,1000000.0,0,1.0793308019638062,0.0,1000000.0,0
2023-01-19,0,1000000.0,64372,1.0797853469848633,70203.02177967071,929796.9782203293,64372
2023-01-20,64372,929796.9782203293,-64372,1.083388328552246,-69042.47475070953,998839.4529710388,0
2023-01-23,0,998839.4529710388,0,1.086507797241211,0.0,998839.4529710388,0
2023-01-24,0,998839.4529710388,0,1.0874292850494385,0.0,998839.4529710388,0
2023-01-25,0,998839.4529710388,0,1.088814616203308,0.0,998839.4529710388,0
2023-01-26,0,998839.4529710388,0,1.0922038555145264,0.0,998839.4529710388,0
2023-01-27,0,998839.4529710388,0,1.0894432067871094,0.0,998839.4529710388,0
2023-01-30,0,998839.4529710388,0,1.0871455669403076,0.0,998839.4529710388,0
2023-01-31,0,998839.4529710388,6177,1.0850694179534912,6769.498532645703,992069.954438393,6177
2023-02-01,6177,992069.954438393,14313,1.0860947370529177,15700.726711152796,976369.2277272402,20490
2023-02-02,20490,976369.2277272402,-20490,1.1012852191925049,-22339.68079984188,998708.9085270821,0
2023-02-03,0,998708.9085270821,0,1.09051251411438,0.0,998708.9085270821,0
2023-02-06,0,998708.9085270821,0,1.079086184501648,0.0,998708.9085270821,0
2023-02-07,0,998708.9085270821,0,1.0730764865875244,0.0,998708.9085270821,0
2023-02-08,0,998708.9085270821,0,1.0729728937149048,0.0,998708.9085270821,0
2023-02-09,0,998708.9085270821,0,1.0715816020965576,0.0,998708.9085270821,0
2023-02-10,0,998708.9085270821,0,1.0742292404174805,0.0,998708.9085270821,0
2023-02-13,0,998708.9085270821,0,1.0677714347839355,0.0,998708.9085270821,0
2023-02-14,0,998708.9085270821,0,1.073041915893555,0.0,998708.9085270821,0
2023-02-15,0,998708.9085270821,0,1.0735719203948977,0.0,998708.9085270821,0
2023-02-16,0,998708.9085270821,0,1.0691757202148438,0.0,998708.9085270821,0
2023-02-17,0,998708.9085270821,0,1.0665756464004517,0.0,998708.9085270821,0
2023-02-20,0,998708.9085270821,0,1.0684444904327393,0.0,998708.9085270821,0
2023-02-21,0,998708.9085270821,0,1.068261981010437,0.0,998708.9085270821,0
2023-02-22,0,998708.9085270821,46528,1.065200924873352,50057.2853188324,948651.6232082497,46528
2023-02-23,46528,948651.6232082497,93009,1.0605803728103638,99629.95509366631,849021.6681145834,139537
2023-02-24,139537,849021.6681145834,107442,1.0598047971725464,115006.22248799086,734015.4456265925,246979
2023-02-27,246979,734015.4456265925,133721,1.055475831031799,142550.67643741725,591464.7691891752,380700
2023-02-28,380700,591464.7691891752,114863,1.0611205101013184,123102.32000328541,468362.4491858898,495563
2023-03-01,495563,468362.4491858898,146494,1.0577309131622314,156500.74471671582,311861.704469174,642057
2023-03-02,642057,311861.704469174,85823,1.066894292831421,92479.70958260774,219381.99488656624,727880
2023-03-03,727880,219381.99488656624,79695,1.0599732398986816,85319.31302726269,134062.68185930356,807575
2023-03-06,807575,134062.68185930356,126162,1.0626201629638672,134062.2849998474,0.39685945614473894,933737
2023-03-07,933737,0.39685945614473894,0,1.0688328742980957,0.0,0.39685945614473894,933737
2023-03-08,933737,0.39685945614473894,0,1.05507493019104,0.0,0.39685945614473894,933737
2023-03-09,933737,0.39685945614473894,0,1.0549525022506714,0.0,0.39685945614473894,933737
2023-03-10,933737,0.39685945614473894,0,1.0584698915481567,0.0,0.39685945614473894,933737
2023-03-13,933737,0.39685945614473894,0,1.0683646202087402,0.0,0.39685945614473894,933737
2023-03-14,933737,0.39685945614473894,0,1.0725010633468628,0.0,0.39685945614473894,933737
2023-03-15,933737,0.39685945614473894,0,1.0727657079696655,0.0,0.39685945614473894,933737
2023-03-16,933737,0.39685945614473894,-3493,1.0583354234695437,-3659.797977837325,3660.19483729347,930244
2023-03-17,930244,3660.19483729347,3448,1.0614134073257446,3659.7534284591675,0.441408834302365,933692
2023-03-20,933692,0.441408834302365,0,1.0678855180740356,0.0,0.441408834302365,933692
2023-03-21,933692,0.441408834302365,0,1.071914792060852,0.0,0.441408834302365,933692
2023-03-22,933692,0.441408834302365,0,1.0774236917495728,0.0,0.441408834302365,933692
2023-03-23,933692,0.441408834302365,0,1.0870392322540283,0.0,0.441408834302365,933692
2023-03-24,933692,0.441408834302365,0,1.0835057497024536,0.0,0.441408834302365,933692
2023-03-27,933692,0.441408834302365,0,1.077818512916565,0.0,0.441408834302365,933692
2023-03-28,933692,0.441408834302365,0,1.0807071924209597,0.0,0.441408834302365,933692
2023-03-29,933692,0.441408834302365,0,1.0839520692825315,0.0,0.441408834302365,933692
2023-03-30,933692,0.441408834302365,0,1.0843634605407717,0.0,0.441408834302365,933692
2023-03-31,933692,0.441408834302365,0,1.0904649496078491,0.0,0.441408834302365,933692
2023-04-03,933692,0.441408834302365,0,1.080333590507507,0.0,0.441408834302365,933692
2023-04-04,933692,0.441408834302365,0,1.091226577758789,0.0,0.441408834302365,933692
2023-04-05,933692,0.441408834302365,0,1.0960105657577517,0.0,0.441408834302365,933692
2023-04-06,933692,0.441408834302365,0,1.090334177017212,0.0,0.441408834302365,933692
2023-04-07,933692,0.441408834302365,0,1.0920130014419556,0.0,0.441408834302365,933692
2023-04-10,933692,0.441408834302365,-3956,1.0913575887680054,-4274.236514954567,4274.6779237888695,929736
2023-04-11,929736,4274.6779237888695,3932,1.086932897567749,4273.820153236389,0.8577705524803605,933668
2023-04-12,933668,0.8577705524803605,0,1.0917507410049438,0.0,0.8577705524803605,933668
2023-04-13,933668,0.8577705524803605,0,1.0999890565872192,0.0,0.8577705524803605,933668
2023-04-14,933668,0.8577705524803605,-14548,1.1054610013961792,-15921.424181828499,15922.28195238098,919120
2023-04-17,919120,15922.28195238098,-56596,1.098659634590149,-61557.94327247143,77480.2252248524,862524
2023-04-18,862524,77480.2252248524,-35825,1.0925379991531372,-38748.77208146453,116228.99730631693,826699
2023-04-19,826699,116228.99730631693,-36354,1.0975382328033447,-39500.90586617946,155729.9031724964,790345
2023-04-20,790345,155729.9031724964,-38221,1.095218300819397,-41441.735288861986,197171.63846135838,752124
2023-04-21,752124,197171.63846135838,-36660,1.0970927476882937,-39817.22592895032,236988.8643903087,715464
2023-04-24,715464,236988.8643903087,-17658,1.0992271900177002,-19216.052184119224,256204.91657442792,697806
2023-04-25,697806,256204.91657442792,-49657,1.1059499979019165,-54368.977455357315,310573.89402978524,648149
2023-04-26,648149,310573.89402978524,-37311,1.0978394746780396,-40551.87375331521,351125.7677831004,610838
2023-04-27,610838,351125.7677831004,-61205,1.1047282218933103,-66938.74191277026,418064.5096958707,549633
2023-04-28,549633,418064.5096958707,-75789,1.1032048463821411,-82774.68418143153,500839.1938773022,473844
2023-05-01,473844,500839.1938773022,-87792,1.1010911464691162,-95700.32399150849,596539.5178688107,386052
2023-05-02,386052,596539.5178688107,-96150,1.0969241857528689,-104414.56785553695,700954.0857243476,289902
2023-05-03,289902,700954.0857243476,-56345,1.1010911464691162,-61420.57084132433,762374.6565656719,233557
2023-05-04,233557,762374.6565656719,-78546,1.1068925857543943,-86072.56519025801,848447.2217559299,155011
2023-05-05,155011,848447.2217559299,-77210,1.102292776107788,-84256.9449908495,932704.1667467793,77801
2023-05-08,77801,932704.1667467793,-61603,1.10186767578125,-67199.57088684083,999903.7376336202,16198
2023-05-09,16198,999903.7376336202,-16198,1.0996140241622925,-17633.432483747005,1017537.1701173672,0
2023-05-10,0,1017537.1701173672,0,1.096467137336731,0.0,1017537.1701173672,0
2023-05-11,0,1017537.1701173672,0,1.098406195640564,0.0,1017537.1701173672,0
2023-05-12,0,1017537.1701173672,0,1.0912145376205444,0.0,1017537.1701173672,0
2023-05-15,0,1017537.1701173672,0,1.0852696895599363,0.0,1017537.1701173672,0
2023-05-16,0,1017537.1701173672,0,1.0873701572418213,0.0,1017537.1701173672,0
2023-05-17,0,1017537.1701173672,0,1.0865668058395386,0.0,1017537.1701173672,0
