date,stocks,budget,bought_stocks,cost,total_cost,budget_after_trans,stocks_after_trans
2023-01-02,0,1000000,0,1.0709733963012695,0.0,1000000.0,0
2023-01-03,0,1000000.0,0,1.0677714347839355,0.0,1000000.0,0
2023-01-04,0,1000000.0,0,1.0546854734420776,0.0,1000000.0,0
2023-01-05,0,1000000.0,0,1.0606365203857422,0.0,1000000.0,0
2023-01-06,0,1000000.0,0,1.0522217750549316,0.0,1000000.0,0
2023-01-09,0,1000000.0,0,1.0656323432922363,0.0,1000000.0,0
2023-01-10,0,1000000.0,0,1.073318362236023,0.0,1000000.0,0
2023-01-11,0,1000000.0,0,1.0738946199417114,0.0,1000000.0,0
2023-01-12,0,1000000.0,0,1.0766000747680664,0.0,1000000.0,0
2023-01-13,0,1000000.0,0,1.0860239267349243,0.0,1000000.0,0
2023-01-16,0,1000000.0,0,1.082461953163147,0.0,1000000.0,0
2023-01-17,0,1000000.0,0,1.083012938499451,0.0,1000000.0,0
2023-01-18,0,1000000.0,0,1.0793308019638062,0.0,1000000.0,0
2023-01-19,0,1000000.0,0,1.0797853469848633,0.0,1000000.0,0
2023-01-20,0,1000000.0,1814,1.083388328552246,1984.919092273712,998015.0809077263,1814
2023-01-23,1814,998015.0809077263,3081,1.086507797241211,3381.0058285331725,994634.0750791931,4895
2023-01-24,4895,994634.0750791931,613,1.0874292850494385,673.2600932526589,993960.8149859405,5508
2023-01-25,5508,993960.8149859405,490,1.088814616203308,538.8543535590172,993421.9606323815,5998
2023-01-26,5998,993421.9606323815,-1787,1.0922038555145264,-1932.250606906414,995354.2112392879,4211
2023-01-27,4211,995354.2112392879,-607,1.0894432067871094,-654.6791062545776,996008.8903455425,3604
2023-01-30,3604,996008.8903455425,-582,1.0871455669403076,-626.3915327596665,996635.2818783021,3022
2023-01-31,3022,996635.2818783021,1592,1.0850694179534912,1744.7048185157776,994890.5770597863,4614
2023-02-01,4614,994890.5770597863,-1928,1.0860947370529177,-2073.0507465076453,996963.6278062939,2686
2023-02-02,2686,996963.6278062939,-2686,1.1012852191925049,-2928.4715777635574,999892.0993840575,0
2023-02-03,0,999892.0993840575,0,1.09051251411438,0.0,999892.0993840575,0
2023-02-06,0,999892.0993840575,7745,1.079086184501648,8441.097723954916,991451.0016601025,7745
2023-02-07,7745,991451.0016601025,11539,1.0730764865875244,12506.05187452078,978944.9497855818,19284
2023-02-08,19284,978944.9497855818,12035,1.0729728937149048,13042.361063617467,965902.5887219643,31319
2023-02-09,31319,965902.5887219643,14032,1.0715816020965576,15186.797371025086,950715.7913509392,45351
2023-02-10,45351,950715.7913509392,11921,1.0742292404174805,12933.945642766952,937781.8457081722,57272
2023-02-13,57272,937781.8457081722,17198,1.0677714347839355,18547.168466768264,919234.677241404,74470
2023-02-14,74470,919234.677241404,15152,1.073041915893555,16421.318420715335,902813.3588206887,89622
2023-02-15,89622,902813.3588206887,14590,1.0735719203948977,15820.048461747174,886993.3103589416,104212
2023-02-16,104212,886993.3103589416,19169,1.0691757202148438,20699.979674606322,866293.3306843352,123381
2023-02-17,123381,866293.3306843352,20429,1.0665756464004517,22006.964619117975,844286.3660652172,143810
2023-02-20,143810,844286.3660652172,20320,1.0684444904327393,21927.899966049194,822358.4660991679,164130
2023-02-21,164130,822358.4660991679,18494,1.068261981010437,19954.001447575094,802404.4646515929,182624
2023-02-22,182624,802404.4646515929,18447,1.065200924873352,19846.259075750113,782558.2055758428,201071
2023-02-23,201071,782558.2055758428,19020,1.0605803728103638,20373.96107776165,762184.2444980812,220091
2023-02-24,220091,762184.2444980812,17876,1.0598047971725464,19134.521259799003,743049.7232382821,237967
2023-02-27,237967,743049.7232382821,21482,1.055475831031799,22900.469120247362,720149.2541180347,259449
2023-02-28,259449,720149.2541180347,19927,1.0611205101013184,21356.397888836862,698792.8562291978,279376
2023-03-01,279376,698792.8562291978,24048,1.0577309131622314,25690.676129722597,673102.1800994752,303424
2023-03-02,303424,673102.1800994752,16902,1.066894292831421,18212.973810811043,654889.2062886641,320326
2023-03-03,320326,654889.2062886641,22386,1.0599732398986816,23965.846557855606,630923.3597308085,342712
2023-03-06,342712,630923.3597308085,20045,1.0626201629638672,21513.223378276823,609410.1363525317,362757
2023-03-07,362757,609410.1363525317,15327,1.0688328742980957,16545.82147901058,592864.3148735211,378084
2023-03-08,378084,592864.3148735211,26998,1.05507493019104,28769.762094950675,564094.5527785704,405082
2023-03-09,405082,564094.5527785704,26817,1.0549525022506714,28573.56786538482,535520.9849131856,431899
2023-03-10,431899,535520.9849131856,26027,1.0584698915481567,27824.283825997114,507696.7010871885,457926
2023-03-13,457926,507696.7010871885,17862,1.0683646202087402,19273.960134630204,488422.7409525583,475788
2023-03-14,475788,488422.7409525583,16198,1.0725010633468628,17546.095946333407,470876.64500622486,491986
2023-03-15,491986,470876.64500622486,15519,1.0727657079696655,16814.73353220105,454061.91147402383,507505
2023-03-16,507505,454061.91147402383,32080,1.0583354234695437,34290.91438875199,419770.99708527187,539585
2023-03-17,539585,419770.99708527187,27324,1.0614134073257446,29292.080541186333,390478.91654408554,566909
2023-03-20,566909,390478.91654408554,25208,1.0678855180740356,27188.450721006393,363290.46582307917,592117
2023-03-21,592117,363290.46582307917,21456,1.071914792060852,23228.99381624222,340061.47200683696,613573
2023-03-22,613573,340061.47200683696,11885,1.0774236917495728,12933.232382208109,327128.23962462886,625458
2023-03-23,625458,327128.23962462886,3234,1.0870392322540283,3550.639725880623,323577.5998987482,628692
2023-03-24,628692,323577.5998987482,2797,1.0835057497024536,3060.87123773694,320516.72866101126,631489
2023-03-27,631489,320516.72866101126,10544,1.077818512916565,11478.163584194184,309038.56507681706,642033
2023-03-28,642033,309038.56507681706,7727,1.0807071924209597,8434.130720595123,300604.43435622193,649760
2023-03-29,649760,300604.43435622193,6925,1.0839520692825315,7581.431760579346,293023.0025956426,656685
2023-03-30,656685,293023.0025956426,477,1.0843634605407717,522.4137843847276,292500.58881125785,657162
2023-03-31,657162,292500.58881125785,-6078,1.0904649496078491,-6561.567504079342,299062.15631533717,651084
2023-04-03,651084,299062.15631533717,2145,1.080333590507507,2340.488707154989,296721.6676081822,653229
2023-04-04,653229,296721.6676081822,-7801,1.091226577758789,-8427.53194776535,305149.1995559475,645428
2023-04-05,645428,305149.1995559475,-10921,1.0960105657577517,-11849.836074754001,316999.0356307015,634507
2023-04-06,634507,316999.0356307015,-3760,1.090334177017212,-4058.65994052887,321057.6955712304,630747
2023-04-07,630747,321057.6955712304,-6868,1.0920130014419556,-7424.9458409643175,328482.6414121947,623879
2023-04-10,623879,328482.6414121947,-7413,1.0913575887680054,-8009.331467481851,336491.97287967656,616466
2023-04-11,616466,336491.97287967656,-4604,1.086932897567749,-4954.196669797897,341446.16954947443,611862
2023-04-12,611862,341446.16954947443,-9675,1.0917507410049438,-10457.061535030603,351903.23108450504,602187
2023-04-13,602187,351903.23108450504,-17026,1.0999890565872192,-18541.129540679456,370444.3606251845,585161
2023-04-14,585161,370444.3606251845,-19434,1.1054610013961792,-21268.69381012201,391713.0544353065,565727
2023-04-17,565727,391713.0544353065,-16347,1.098659634590149,-17780.191156178713,409493.24559148523,549380
2023-04-18,549380,409493.24559148523,-7007,1.0925379991531372,-7578.859622465372,417072.1052139506,542373
2023-04-19,542373,417072.1052139506,-12770,1.0975382328033447,-13875.407600569724,430947.51281452033,529603
2023-04-20,529603,430947.51281452033,-10664,1.095218300819397,-11562.61388033867,442510.126694859,518939
2023-04-21,518939,442510.126694859,-12066,1.0970927476882937,-13105.14588267088,455615.2725775299,506873
2023-04-24,506873,455615.2725775299,-16868,1.0992271900177002,-18356.34659880638,473971.6191763363,490005
2023-04-25,490005,473971.6191763363,-22498,1.1059499979019165,-24632.846422269344,498604.46559860563,467507
2023-04-26,467507,498604.46559860563,-14359,1.0978394746780396,-15606.23824673295,514210.7038453386,453148
2023-04-27,453148,514210.7038453386,-18163,1.1047282218933103,-19864.526907305713,534075.2307526444,434985
2023-04-28,434985,534075.2307526444,-15267,1.1032048463821411,-16674.202105818986,550749.4328584634,419718
2023-05-01,419718,550749.4328584634,-13327,1.1010911464691162,-14527.499291903972,565276.9321503673,406391
2023-05-02,406391,565276.9321503673,-10671,1.0969241857528689,-11588.225206307174,576865.1573566744,395720
2023-05-03,395720,576865.1573566744,-15346,1.1010911464691162,-16728.371286377907,593593.5286430523,380374
2023-05-04,380374,593593.5286430523,-21414,1.1068925857543943,-23465.967853031154,617059.4964960834,358960
2023-05-05,358960,617059.4964960834,-17330,1.102292776107788,-18911.706471848487,635971.202967932,341630
2023-05-08,341630,635971.202967932,-17217,1.10186767578125,-18781.147216186524,654752.3501841185,324413
2023-05-09,324413,654752.3501841185,-13397,1.0996140241622925,-14584.21379088521,669336.5639750037,311016
2023-05-10,311016,669336.5639750037,-10894,1.096467137336731,-11825.463864204883,681162.0278392086,300122
